"id","author","title","year","file","genres","barcode"
207,"Robinson, S. et. al.","Professional C#",2004,"","C# & .Net",9780764557590\

229,"Lecky-Thompson, E. et. al.","Professional PHP5",2005,"","PHP",9780764572821\

45,"Michalowicz, M.","Profit First",2014,"","Business Strategy",9780981808291\

260,"Delorme, R","Programming in HTML5 with JavaScript and CSS3",2014,"","Misc Software",9780735676633\

122,"Godin, S.","Purple Cow",2002,"","Marketing & Sales",9781591843177\

53,"Stratten, S.","QR Codes kill kittens",2014,"","Business Strategy",9781118732755\

118,"Cherry, P.","Questions that Sell: The Powerful Process for Discovering What Your Customer Really Wants",2006,"","Marketing & Sales",118
99,"Rock, D.","Quiet Leadership: Six Steps to Transforming Performance at Work",2006,"","Leadership,Management",99
149,"Cain, S.","Quiet: The Power of Introverts in a World That Can't Stop Talking",2013,"","Personal Development",149
250,"Paul, A & Nalwaya, A.","React Native for iOS Development",2016,"","Misc Software",9781484213964\

236,"n/a","React.js Essentials",2015,"","Javascript",236
243,"Good, N.","Regular Expression Recipes for Windows Developers: A Problem-Solution Approach",2005,"","Misc Software",689253594971\

102,"Schiemann, W.","Reinventing Talent Management: How to Maximize Performance in the New Marketplace",2009,"","Leadership,Management",9780470452264\

218,"n/a","Responsive Web Design HTML5 / CSS",2015,"","CSS",218
166,"Kiyosaki, R. & Lechter, L.","Rich Dad, Poor Dad",2000,"","Personal Development",166
137,"Singer, B.","Sales Dogs",2001,"","Marketing & Sales",137
138,"Southon, M. & West, C.","Sales On a Beermat",2005,"","Marketing & Sales",9781844138197\

303,"Harari, Y.","Sapiens: A Brief History of Humankind",2011,"","Misc",303
31,"Harnish, V.","Scaling Up: How a Few Companies Make It... and Why the Rest Don't",2014,"","Business Strategy",9780986019524\

182,"Tan, C.","Search Inside Yourself: The unexpected path to achieving success, happiness (and world peace)",2012,"","Personal Development",182
9,"Beaumont, D.","Secrets of Male Entrepreneurs Exposed!",2005,"","Business Strategy",9780975797402\

117,"Beckwith, H","Selling The Invisible - A Field Guide to Modern Marketing",2012,"","Marketing & Sales",9780446520942\

88,"Ghosn, C","Shift - Inside Nissan's HIstoric Revival",2003,"","Leadership,Management",9780385512909\

41,"Knight, P","Shoe Dog",2016,"","Business Strategy",41
263,"n/a","Site Reliability Engineering Book",0,"","Misc Software",263
196,"Hudson, K.","Speed Thinking: How to Thrive in a Time-Poor World",2010,"","Productivity",9781741759952\

135,"Rackham, N.","SPIN Selling",1988,"","Marketing & Sales",9780070511132\

40,"Knapp, Jake","Sprint - How to Solve Big Problems and Test New Ideas in Just Five Days",2016,"","Business Strategy",9781501121746\

126,"Kellard, M. & Elliot, I.","Stop Bitching, Start Pitching: 9 Success Steps to Winning Business",2007,"","Marketing & Sales",126
14,"Chorn, N. & Hunter, T.","Strategic Alignment: How to Align the Organisation with its current and future environment",2004,"","Business Strategy",9781921606311\

114,"Cohn, N.","Succeeding with Agile",2012,"","Leadership,Management",114
237,"n/a","Switching to Angular 2",2016,"","Javascript",237
283,"Satzinger, J., Jackson, R., Burd, S.","Systems Analysis and Design in a Changing World",2000,"","Web Development",9780760058794
169,"McGee, S. & Wittry, J.","Take Back Your Life!",2007,"","Personal Development",9780735623439\

246,"Ingersoll, G, Morton, T & Farris, A.","Taming Text",2013,"","Misc Software",9781933988382\

266,"Hart-Davis, Guy","Teach Yourself Visually - iMac (Third Edition)",0,"","Misc Software",266
272,"n/a","Technology Review Magazine : January - February",2016,"","PANIC: What to do about Climate Change,Google's Great Virtual-Reality Experiment,Gene-Edited Dogs,The Fast Rise of AdBlockers,Taking Carbon from Air,Battery Firepower,Shared Robot Knowledge,",272
275,"n/a","Technology Review Magazine : July _ August",2016,"","Free Money,The All-American iPhone,The Unbelievable Hyperloop Reality,Basic Income: A Sellout,Is This Fusion's Future,","074470013082
"
273,"n/a","Technology Review Magazine : March _ April",2016,"","10 Breakthrough Technologies,Google's Dream Machine,Have We Reached Peak Emissions?,The Chimera Contention,Smart Bandages,3 Questions for Mark Fields,A Boost for Solar,Q+A,Will Machines Eliminate Us?,",273
274,"n/a","Technology Review Magazine : May _ June",2016,"","Rogue Immune Cells That Wreck the Brain,WeChat Tranforms China's School Days,Sky-High Air ConditioningThe New Mosquito Menace,A Collar to Protect the Brain,Daredevil Drones,Flexible Glass,",274
277,"n/a","Technology Review Magazine : November _ December",2016,"","No Driver, No Problem?,Your Driverless Ride is Arriving,The One and Only Texas Wind Boom,Elon Musk's House of Gigacards,Learning to Prosper in a Factory Town,Will CRISPR Cure Ben Dupree,",277
276,"n/a","Technology Review Magazine : September _ October",2016,"","35 Innovators Under 35,Al's Unspoken Problem,Fail-Safe Nuclear Power,The Quest for Better Painkillers,",276
43,"Lencioni, P","The Advantage: Why Organizational Health Trumps Everything Else In Business",2012,"","Business Strategy",9780470941522\

125,"Kawasaki, G. & Fitzpatrick,","The Art of Social Media: Power Tips for Power Users",2014,"","Marketing & Sales",125
60,"Pape, S.","The Barefoot Investor: The Only Money Guide You'll Ever Need",2016,"","Business Strategy",60
191,"Gordon, E. Dr.","The Brain Revolution: Know and Train New Brain Habits",2016,"","Personal Development",191
167,"Kiyosaki, R. & Lechter, L.","The Cashflow Quadrant: Rich Dad's Guide to Financial Freedom",1998,"","Personal Development",167
296,"Johnson, B.","The Churchill Factor",2014,"","Misc",296
282,"Martin, R.","The Clean Coder",2011,"","Web Development",9780137081073\

216,"Andrew, R.","The CSS3 Anthology: Take Your Sights to New Heights",2012,"","CSS",9780987153029\

226,"Kofler, M.","The Definitive Guide to MySQL 5",2005,"","PHP",9781590595350
302,"Starnes, T.","The Deplorables Guide to Making America Great Again",2017,"","Misc",302
26,"Gerber, M.","The E Myth, Revisited: Why most small businesses don't work and what to do about it",2003,"","Business Strategy",9780060727710\

52,"Solis, B.","The End of Business As Usual: Rewire the Way You Work to Succeed in the Consumer Revolution",2011,"","Business Strategy",9781118077559\

189,"Stone B.","The Everything Store: Jeff Bezos and the Age of Amazon",2013,"","Personal Development",189
112,"Zenger, J. & Folkman, J.","The Extraordinary Leader: Turning Good Managers into Great Leaders",2009,"","Leadership,Management",9780071628082\

93,"Lencioni, P.","The Five Dysfunctions of a Team",2002,"","Leadership,Management",93
94,"Lencioni, P.","The Five Temptations of a CEO",1998,"","Leadership,Management",9780470267585\

56,"Wasserman, N.","The Founders Dilemma",2012,"","Business Strategy",56
7,"Blank, S.","The Four Steps To The Epiphany",2013,"","Business Strategy",9780989200509\

305,"Koestler, A.","The Ghost in the Machine",1967,"","Misc",305
148,"Burg, B.","The Go-Giver",2015,"","Personal Development",9781591848288\

89,"Gold, A.","The Gold Strategy: Rules To Live By",2015,"","Leadership,Management",89
55,"Vide, D.","The Google Story: Inside the Hottest Business, Media and Technology Success of Our Time",2005,"","Business Strategy",9781405053716\

105,"Stack, J.","The Great game of business - The only sensible way to run a company",2013,"","Leadership,Management",9780385348331\

30,"Harnish, V. et. al","The Greatest Business Decisions of all Time: How Apple, Ford, IBM, Zappos, and Others Made Radical Choices That Changed the Course of Their Business",2012,"","Business Strategy",9781603200592\

132,"Mandino, O.","The Greatest Salesman in the World",0,"","Marketing & Sales",9780553277579\

224,"Hartjes, Chris","The Grumpy Programmer's PHPUnit Cookbook",2015,"","PHP",224
158,"Haidt, J.","The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom",2006,"","Personal Development",9780465028023\

65,"Ben Horowitz","The Hard Think About Hard Things",2014,"","Business Strategy",65
163,"Johnson, C.","The Information Diet",2011,"","Personal Development",163
16,"Christensen, C. M.","The Innovator's Dilemma",2000,"","Business Strategy",16
184,"Graham, B.","The Intelligent Investor",1973,"","Personal Development",184
185,"Bernstein J, W.","The Investor's Manifesto: Preparing for Prosperity, Armageddon, and Everything in Between",2009,"","Personal Development",185
78,"Aalders, R. & Hind, P.","The IT Manager's Survival Guide",2002,"","Leadership,Management",9780470844540\

77,"Aalders, R.","The IT Outsourcing Guide",2001,"","Leadership,Management",9780471499350
84,"Charan, R, Drotter, S, Noel, J.","The Leadership Pipeline: How to Build the Leadership Powered Company",2011,"","Leadership,Management",84
66,"Raisel E.","The Mckinsey Way",1999,"","Business Strategy",66
42,"Larreche, J.","The Momentum Effect: How to Ignite Exceptional Growth",2008,"","Business Strategy",9780137067213\

186,"Sharma R.","The Monk Who Sold His Ferrari",1997,"","Personal Development",186
241,"Brooks, F.","The Mythical Man-Month: Essays on Software Engineering",1995,"","Misc Software",241
79,"Blanchard, K. & Johnson, S.","The One Minute Manager",1982,"","Leadership,Management",79
80,"Blanchard K & William Oncken Jr, Hal Burrows","The One Minute Manager Meets the Monkey",1989,"","Leadership,Management",80
144,"Iannarino, A","The Only Sales Guide You'll Ever Need",2016,"","Marketing & Sales",144
242,"Fowler, C._","The Passionate Programmer: Creating a Remarkable Career in Software Development",2009,"","Misc Software",242
34,"Humphrey, N.","The Penguin Small Business Guide: The complete reference handbook for small to medium enterprises",2007,"","Business Strategy",9780143005520\

36,"Kaufman, J.","The Personal MBA: Master the Art of Business",2012,"","Business Strategy",36
38,"Kim, G, Behr, K & Spafford, G/","The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",2013,"","Business Strategy",38
183,"Ury, W.","The Power of a Positive No",2007,"","Personal Development",183
87,"Gallo, C.","The Presentation Secrets of Steve Jobs (Audio Book)",2010,"","Leadership,Management",87
193,"Bailey, C.","The Productivity Project",2016,"","Productivity",9781101904039\

180,"Silvester, T.","The Question is the Answer",2006,"","Personal Development",180
179,"Silvester, T.","The Question is the Answer: Focusing on Solutions with Cognitive Hypnotherapy",2011,"","Personal Development",179
271,"Kotler, S","The Rise of Superman",2014,"","Sport",271
145,"Roberge, M.","The Sales Acceleration Formula",2015,"","Marketing & Sales",9781119047070\

120,"Gitomer, J.","The Sales Bible",2008,"","Marketing & Sales",120
108,"Weinberg, G. M.","The Secrets of Consulting",1985,"","Leadership,Management",9780932633019\

278,"Cattaneo, A. et. al.","The Smashing Book",2009,"","Web Development",278
85,"Covey, S.","The Speed of Trust",2006,"","Leadership,Management",9781416549000\

150,"Canfield, J.","The Success Principles: How to Get from Where You Are to Where You Want to Be",2007,"","Personal Development",9780060594893\

121,"Gladwell, M.","The Tipping Point: How Little Things Can Make a Big Difference",2001,"","Marketing & Sales",121
21,"Cunningham, Keith J","The Ultimate Blueprint For An Insanely Successful Business",2013,"","Business Strategy",21
73,"McNeil, P.","The Web Designer's Idea Book: The Ultimate Guide to Themes, Trends and Styles in Website Design",2008,"","Design",9781600610646\

220,"Holzschlag, Shea","The Zen of CSS Design",0,"","CSS",785342303476\

160,"Hill, N","Think and Grow Rich",0,"","Personal Development",160
194,"De Bono, E.","Think! Before its Too Late",2009,"","Productivity",194
197,"Kahneman, D.","Thinking Fast and Slow",2011,"","Productivity",197
161,"Huffington, A.","Thrive",2014,"","Personal Development",161
63,"Ferriss T.","Tools of Titan",2016,"","Business Strategy",63
86,"Freidman, S.","Total Leadership: Be a Better Leader, Have a Richer Life",2008,"","Leadership,Management",9781422103289\

